C0000833,CID100000206;CID100000206;CID100000700;CID100000700;CID100000271;CID100000312;CID100000312;CID100000271;CID100000923;CID100000923;CID100002476;CID100002476;CID100002578;CID100002578;CID100002547;CID100002547;CID100002771;CID100002771;CID100002786;CID100002786;CID100002684;CID100002684;CID100002771;CID100002771;CID100002713;CID100002713;CID100002462;CID100002462;CID100002367;CID100002367;CID100002349;CID100002349;CID100001875;CID100001875;CID100001301;CID100001690;CID100001301;CID100001690;CID100003003;CID100003003;CID100003003;CID100003003;CID100002909;CID100002909;CID100003152;CID100003152;CID100003080;CID100003080;CID100060787;CID100060787;CID100157688;CID100157688;CID100125889;CID100125889;CID100148191;CID100148191;CID100148191;CID100148191;CID100077993;CID100077993;CID100065370;CID100065370;CID100065999;CID100065999;CID100071158;CID100071158;CID100062819;CID100062819;CID100062924;CID100062924;CID100032603;CID100032603;CID100047528;CID100047528;CID100040976;CID100040976;CID100040976;CID100040976;CID1161322
C0000889,CID100000937;CID100000937
C0000924,CID100060830;CID100060830
C0000932,CID100057537;CID100057537;CID100003461;CID100003461
C0001122,CID100003454;CID100003454;CID100003414;CID100003414;CID100003958;CID100003958;CID100003998;CID100003998;CID100003948;CID100003948;CID100003877;CID100003877;CID100004272;CID100004272;CID100004271;CID100004271;CID100003676;CID100003676;CID100003672;CID100003672;CID100003715;CID100003715;CID100003724;CID100003724;CID100003741;CID100003741;CID100003738;CID100003738;CID100003690;CID100003690;CID100004585;CID100004585;CID100004583;CID100004583;CID100004062;CID100004062;CID100004091;CID100004091;CID100003345;CID100003345;CID100477468;CID100477468;CID100477468;CID100477468;CID116130295;CID116130295;CID105359596;CID105359596;CID154681041;CID154681041;CID170695640;CID171306834;CID171306834;CID170695640;CID106442177;CID106442177;CID100000946;CID100000946;CID100000923;CID100000923;CID100000206;CID100000206;CID100000175;CID100000175;CID100000750;CID100000750;CID100000453;CID100000453;CID100000453;CID100000453;CID100002764;CID100002764;CID100003249;CID100003249;CID100002550;CID100002550;CID100002474;CID100002474;CID1000025
C0001125,CID100064987;CID100064987;CID100060877;CID100060877;CID100125889;CID100125889;CID100148192;CID100148192;CID100153941;CID100153941;CID100160352;CID100160352;CID100119830;CID100119830;CID100003488;CID100003488;CID100003877;CID100003877;CID100003929;CID100003929;CID100001971;CID100001971;CID100001690;CID100001690;CID100002083;CID100002083;CID100001971;CID100001971;CID100002094;CID100002094;CID100000951;CID100000951;CID100000838;CID100000838;CID100001134;CID100001134;CID100003203;CID100003203;CID100003043;CID100003043;CID100003043;CID100003043;CID100216235;CID100216235;CID105273759;CID105273759;CID100005064;CID100005064;CID100004775;CID100004775;CID100005155;CID100005155;CID100005726;CID100005726;CID100005718;CID100005718
C0001126,CID100005734;CID100005734;CID100005734;CID100005300;CID100005300;CID100005300;CID100007012;CID100007012;CID100007012;CID100004775;CID100004775;CID100004775;CID100005514;CID100005514;CID100005514;CID100147912;CID100147912;CID100147912;CID100001972;CID100001972;CID100001972;CID100001805;CID100001805;CID100001805;CID100003690;CID100003690;CID100003690
C0001127,CID100004271;CID100004271;CID100004272;CID100004272;CID100005487;CID100005487;CID100005070;CID100005070;CID100004943;CID100004943;CID100002764;CID100002764;CID100060612;CID100060612;CID100060612;CID100060612
C0001144,CID100002914;CID100002914
C0001175,CID100003043;CID100003043;CID100003043;CID100002269;CID100002269;CID100002269;CID100004272;CID100004272;CID100004272;CID100003706;CID100003706;CID100003706;CID100003899;CID100003899;CID100003899;CID100054688;CID100054688;CID100054688;CID100147912;CID100147912;CID100147912;CID100123623;CID100123623;CID100123623;CID100005426;CID100005426;CID100005426;CID100005538;CID100005538;CID100005538;CID100005726;CID100005726;CID100005726;CID100005625;CID100005625;CID100005625;CID116130199;CID116130199;CID116130199;CID100483407;CID100483407;CID100483407;CID100477468;CID100477468;CID100477468;CID103010818;CID103010818;CID103010818;CID123668479;CID123668479;CID123668479
