CMPD_CHEMBLID,exp,smiles,,,,,,
CHEMBL302533,3.6,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C4CCC(F)(F)CC4,,,,,,
CHEMBL308473,2,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c2cnc3ccccc3n2)C(=O)N,,,,,,
CHEMBL1159524,-2.57,O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(=O)O,,,,,,
CHEMBL152957,4.45,CCCc1nc(C)nc2N(Cc3ccc(cc3)c4ccccc4c5nn[nH]n5)C(=O)CCc12,,,,,,
CHEMBL68145,4.2,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C4CCCCC4,,,,,,
CHEMBL141158,-0.2,O=C([C@@H]1CCCN1C(=O)c2cccc(c2)C(=O)N3CCC[C@H]3C(=O)N4CCCC4)N5CCCC5,,,,,,
CHEMBL69123,41,CCNC(=O)C(CCC(C)(C)F)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2,,,,,,
CHEMBL1093,2.41,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,,,,,,
CHEMBL6666,-1.84,CN(C)C(=O)c1cccc(COc2ccc(cc2Cl)N3C(=NC(=NC3(C)C)N)N)c1,,,,,,
CHEMBL152846,2.34,CCOC(=O)C1=CCCN(C1)C(C)C,,,,,,
CHEMBL138361,0.8,O=C(C1CCCC1)[C@H]2CCCN2C(=O)c3cccc(c3)C(=O)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C#N,,,,,,
CHEMBL138334,0.3,CC(C)C(=O)[C@H]1CCCN1C(=O)c2cccc(c2)C(=O)N3CCC[C@H]3C(=O)N4CCC[C@@H]4C#N,,,,,,
CHEMBL538271,4.8,Br.Br.CCN(CC)CC1CCCN(Cc2ccc(CN3CCCC(CN(CC)CC)C3)cc2)C1,,,,,,
CHEMBL305423,3,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cnc3ccccc3n2)C(=O)NO,,,,,,
CHEMBL418068,2.37,OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,,,,,,
CHEMBL14041,6.49,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)cc2Cl,,,,,,
CHEMBL423707,-3,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,
CHEMBL423707,-3.02,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,
CHEMBL423707,-11.1,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,,,,,,
CHEMBL539535,4.516,Br.Br.CCCCN(C)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C3)C(=O)N(C)CCCC)cc2)C1,,,,,,
CHEMBL2070322,4.03,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(O)c2)C(=O)OCC)C,,,,,,
CHEMBL1628034,2.87,CO[C@H]1C[C@@]2(C)[C@@H](C[C@H](F)[C@@]2(O)C#C)[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL1627371,4.12,CC[C@H]1C[C@@]2(C)[C@@H](C[C@H](F)[C@@]2(O)C#C)[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL83297,1.56,CN(C)CCN1C(=O)N2c3ccccc3C(=O)c4c(Cl)ccc(C1=O)c24,,,,,,
CHEMBL125822,3.68,COc1cccc2C(=O)c3cccc(OC)c3Cc12,,,,,,
CHEMBL418930,1.7,CN(C)CCN1C(=O)N2c3ccccc3C(=O)c4c(NCCN5CCNCC5)ccc(C1=O)c24,,,,,,
CHEMBL85471,1.28,COc1ccc2N3C(=O)N(CCN(C)C)C(=O)c4ccc(NCCN(C)C)c(C(=O)c2c1)c34,,,,,,
CHEMBL126105,4.06,Oc1cccc2Cc3ccc(C=O)c(O)c3C(=O)c12,,,,,,
CHEMBL125175,3.18,CN(C)C=C1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL125337,4.06,C1c2ccccc2Cc3ccccc13,,,,,,
CHEMBL135,3.26,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,,,,,,
CHEMBL1628188,2.35,CO[C@H]1C[C@]2(C)[C@@H](O)[C@@H](F)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL81336,3.5,C[C@@H](Nc1[nH]c(nc2nc(C)c(C)c12)c3ccccc3)c4ccccc4,,,,,,
CHEMBL39632,3.82,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OC)c2ccccc2C(F)(F)F)\\O,,,,,,
CHEMBL332779,5.01,Oc1cccc2C(C3c4cccc(O)c4C(=O)c5c(O)cccc35)c6cccc(O)c6C(=O)c12,,,,,,
CHEMBL1627851,4.28,CCC1C[C@@]2(C)[C@@H](CC[C@@]2(O)C#C)[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL432672,3.98,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,,,,,,
CHEMBL432951,1.29,CN(C)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4cc(O)c(O)cc4C(=O)c1c23,,,,,,
CHEMBL83620,2.32,CN(C)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccc(cc4C(=O)c1c23)[N+](=O)[O-],,,,,,
CHEMBL125389,3.88,COc1cccc2Cc3cccc(OC)c3C(=O)c12,,,,,,
CHEMBL37204,4.48,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OCC)c2cccc(I)c2)\\O,,,,,,
CHEMBL38777,3.19,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OCC)c2ccccc2OC)\\O,,,,,,
CHEMBL126090,3.49,CC(=O)c1ccccc1COc2cccc3Cc4cccc(O)c4C(=O)c23,,,,,,
CHEMBL125762,6.56,CC(=CCc1c(C)cc(O)c2C(=O)c3c(O)cc(O)c(CC=C(C)C)c3Cc12)C,,,,,,
CHEMBL123326,2.4,CC(=O)Oc1cccc2Cc3cccc(OC(=O)C)c3C(=O)c12,,,,,,
CHEMBL125388,4.99,Cc1ccc2Cc3cccc(O)c3C(=O)c2c1O,,,,,,
CHEMBL285708,1.52,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CN,,,,,,
CHEMBL37723,1.45,CC1=C(C#N)C(C(=C(C)N1)C#N)c2cccc(c2)[N+](=O)[O-],,,,,,
CHEMBL121770,2.02,CC(=O)OC1c2c(Cc3cccc(OC(=O)C)c13)cccc2OC(=O)C,,,,,,
CHEMBL104546,2.97,CCSC1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL125427,4.12,CCCCC(=O)C1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL125942,4.33,Oc1cccc2c1C(=O)c3c(O)cccc3C2(Cc4ccccc4)Cc5ccccc5,,,,,,
CHEMBL38946,3.76,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OCC)c2cccc(C)c2)\\O,,,,,,
CHEMBL124440,3.46,O=C1c2ccccc2Cc3ccccc13,,,,,,
CHEMBL338978,4.72,Oc1cccc2Cc3cccc(O)c3C(=N)c12,,,,,,
CHEMBL1627854,3.9,CCC1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL36295,3.61,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)\\C=C\\c2ccccc2,,,,,,
CHEMBL83416,3,CCN(CC)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccccc4C(=O)c1c23,,,,,,
CHEMBL333452,3.51,Oc1cccc2C(=O)c3c(O)cccc3Cc12,,,,,,
CHEMBL339332,3.49,CC(=O)C1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL122022,3.51,Clc1cccc2Cc3cccc(Cl)c3C(=O)c12,,,,,,
CHEMBL279810,1.19,[O-][N+](=O)c1ccc(cc1)n2ccnc2,,,,,,
CHEMBL416046,4.66,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCCCCc2ccccc2,,,,,,
CHEMBL544311,1.5,Br.Br.CN(C)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccc(O)cc4C(=O)c1c23,,,,,,
CHEMBL321185,4.5,Oc1cccc2C(Cc3ccccc3)c4cccc(O)c4C(=O)c12,,,,,,
CHEMBL33051,-3,[Cl-].[Cl-].NC(=O)c1cc[n+](COC[n+]2ccccc2\\C=N\\O)cc1,,,,,,
CHEMBL1627362,3.72,CC[C@H]1C[C@]2(C)[C@@H](O)[C@@H](F)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL1628161,3.01,CO[C@H]1C[C@@]2(C)[C@@H](CC[C@@]2(O)C#C)[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL36294,2.06,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C[C@@H](NC(=O)OC(C)(C)C)C(=O)O,,,,,,
