CMPD_CHEMBLID,exp,smiles
CHEMBL286987,2.36,CCCN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
CHEMBL1034,1.13,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl
CHEMBL76154,1.21,Cc1cccc(C)c1Nc2ccccc2CC(=O)O
CHEMBL127817,25,NS(=O)(=O)c1cc(cs1)S(=O)(=O)c2cccc(O)c2
CHEMBL283895,2.68,O=C1NC(Cc2ccccc2)C3(CCN(CCc4c[nH]c5ccccc45)CC3)O1
CHEMBL541341,2.3,Cl.CN1CCN(Cc2ccc(cc2)C(=O)c3csc(c3)S(=O)(=O)N)CC1
CHEMBL555312,30,Cl.CC(C)CNCc1ccc(cc1O)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL17671,-0.15,CN1CCN(CC(=O)N2c3ccccc3NC(=O)c4cscc24)CC1
CHEMBL75754,2.93,Cc1cc(C)c(C)c(Nc2ccc(Cl)cc2CC(=O)O)c1C
CHEMBL555186,2.63,Cl.CC(C)CNCc1cccc(c1)C(=O)c2csc(c2)S(=O)(=O)N
CHEMBL24469,1.43,CC1NC(=O)OC12CCN(CCc3c[nH]c4ccccc34)CC2
CHEMBL423839,2.19,COc1ccccc1OCC(O)CN2CCC3(CC2)CN(Cc4ccccc4)C(=O)O3
CHEMBL262726,23,COc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL309569,1.98,OC(=O)Cc1ccccc1Nc2cc(Cl)cc(Cl)c2
CHEMBL77245,0.55,[Na+].[O-]C(=O)Cc1ccccc1Nc2ccc(F)cc2F
CHEMBL284237,2.1,C[C@]12N[C@H](Cc3ccccc13)c4ccccc24
CHEMBL557231,0.3,Cl.NS(=O)(=O)c1cc(cs1)S(=O)(=O)c2ccccc2CNCc3ccccn3
CHEMBL333747,0.79,NS(=O)(=O)c1occ(c1)S(=O)(=O)c2ccc(O)cc2
CHEMBL76818,0.56,[Na+].[O-]C(=O)Cc1ccccc1Nc2c(F)cccc2Cl
CHEMBL279516,2.13,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c4ccccc4
CHEMBL151238,0.53,CN1CC[C@]23CCCC[C@@]12c4ccccc4CC3
CHEMBL1031,0.76,OC(=O)Cc1cc(O)ccc1Nc2c(Cl)cccc2Cl
CHEMBL341530,13,NS(=O)(=O)c1cc(cs1)S(=O)(=O)c2ccc(O)cc2
CHEMBL539558,2.1,Cl.CCCCNCc1ccc(cc1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL77731,1.87,OC(=O)Cc1c(Br)cccc1Nc2c(Cl)cccc2Cl
CHEMBL1030,0.7,OC(=O)Cc1ccccc1Nc2c(Cl)cc(O)cc2Cl
CHEMBL276771,0.11,CN1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1
CHEMBL1035,0.72,OC(=O)Cc1ccccc1Nc2c(Cl)ccc(O)c2Cl
CHEMBL538536,4.2,Cl.CCN(CC)Cc1cc(ccc1O)S(=O)(=O)c2coc(c2)S(=O)(=O)N
CHEMBL555355,13,Cl.NS(=O)(=O)c1cc(cs1)C(=O)c2cccc(CN3CCOCC3)c2
