CMPD_CHEMBLID,exp,smiles
CHEMBL109705,5.903089987,CC(=O)CCNC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
CHEMBL324161,4.602059991,NC(=O)c1cc(c(N2CC2)c(c1)[N+](=O)[O-])[N+](=O)[O-]
CHEMBL17440,4.977723605,OCCCCCCCCCCCCO
CHEMBL17560,5.903089987,OCCCCCCCCCC(Br)CCO
CHEMBL17721,6.354108439,OCCCCCCC(Br)CCCCCO
CHEMBL17407,5.860338007,OCCCCCCCCCCC(Br)CO
CHEMBL262015,6.369215857,OCCCCCCCC(Br)CCCCO
CHEMBL281872,2.84509804,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn4ccnn4
CHEMBL24137,4.301029996,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCOCC4
CHEMBL533849,5.51851394,Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4
CHEMBL1744347,4.77815125,Cl.COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN4CCN(C)CC4
CHEMBL9674,5.612783857,CCCCCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL340898,7.531478917,Cc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1
CHEMBL9704,7.574031268,CCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL9731,7.565847819,CCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL9622,5.23299611,CCCCCCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL338114,7.544068044,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1
CHEMBL268742,3.615950052,CCCCCCCCCCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL131,5.431363764,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
CHEMBL126791,7.602059991,Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1
CHEMBL422037,8.201397124,CN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL9593,6.474216264,CCCCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL268460,7.209515015,CCC(C)CN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL9721,6.631443769,CCCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL340399,7.591064607,Cc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1
CHEMBL417425,7.190331698,CCCCN(C)N=Nc1ccc(cc1)C(=O)O
CHEMBL38105,7.318063335,CNS(=O)(=O)c1ccc(Cl)cc1
CHEMBL20,7.269512944,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL804,7.348304863,NS(=O)(=O)c1ccc(Cl)cc1
CHEMBL279311,3,Cn1cnc2c(nc(nc12)c3ccccc3F)N(C(=O)N)c4c(F)cccc4F
CHEMBL34910,6.158362492,CNS(=O)(=O)c1nnc(NC(=O)C)s1
CHEMBL278179,4.361727836,CN(C)CCn1cnc2c(nc(nc12)c3ccccc3F)N(C(=O)N)c4c(F)cccc4F
CHEMBL269138,4.397940009,CCCCCCCC(=O)C1=C(O)C=C(CCCCCCC)OC1=O
CHEMBL269138,4.397940009,CCCCCCCC(=O)C1=C(O)C=C(CCCCCCC)OC1=O
CHEMBL269138,4.397940009,CCCCCCCC(=O)C1=C(O)C=C(CCCCCCC)OC1=O
CHEMBL91302,6.944482672,NCCCCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL420799,6.568201724,CCC(C)OC(=O)CCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL328270,6,COC(=O)CCCCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL8194,6,COC1=C\\C(=C/C(=O)C(=O)O)\\OC(=C1)O
CHEMBL8194,6,COC1=C\\C(=C/C(=O)C(=O)O)\\OC(=C1)O
CHEMBL8194,6,COC1=C\\C(=C/C(=O)C(=O)O)\\OC(=C1)O
CHEMBL7852,4.397940009,CCCCCC(=O)C1=C(O)C=C(CCCCC)OC1=O
CHEMBL7852,4.397940009,CCCCCC(=O)C1=C(O)C=C(CCCCC)OC1=O
CHEMBL7852,4.397940009,CCCCCC(=O)C1=C(O)C=C(CCCCC)OC1=O
CHEMBL8180,5.301029996,CCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL8180,5.301029996,CCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL8180,5.301029996,CCCCOC(=O)C(=O)\\C=C/1\\OC(=CC(=C1)OC)O
CHEMBL329625,7.204119983,COC(=O)CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL7777,5.301029996,CCCCCC1=CC(=CC(=O)O1)O
CHEMBL7777,5.301029996,CCCCCC1=CC(=CC(=O)O1)O
CHEMBL7777,5.301029996,CCCCCC1=CC(=CC(=O)O1)O
CHEMBL7958,4.397940009,CCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCC)OC1=O
CHEMBL7958,4.397940009,CCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCC)OC1=O
CHEMBL7958,4.397940009,CCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCC)OC1=O
CHEMBL90857,7.397940009,NS(=O)(=O)c1nnc(NC(=O)CCCCC(=O)O)s1
CHEMBL91131,6.949390007,CCOC(=O)CCC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL20,6.995635195,CC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL7952,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL7952,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL7952,5.301029996,CCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL91517,7.491361694,NS(=O)(=O)c1nnc(NC(=O)CCCC(=O)O)s1
CHEMBL7333,5.301029996,CCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7333,5.301029996,CCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7333,5.301029996,CCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7780,4,CCCCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCCCC)OC1=O
CHEMBL7780,4,CCCCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCCCC)OC1=O
CHEMBL7780,4,CCCCCCCCCCCC(=O)C1=C(O)C=C(CCCCCCCCCCC)OC1=O
CHEMBL7630,5.301029996,CCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7630,5.301029996,CCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7630,5.301029996,CCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7839,5.301029996,CCCCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7839,5.301029996,CCCCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7839,5.301029996,CCCCCCCCCCCC(=O)C1=C(O)C=C(C)OC1=O
CHEMBL7129,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL7129,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL7129,5.301029996,CCCCCCCCCC1=CC(=CC(=O)O1)OC
CHEMBL88115,7.783188691,NS(=O)(=O)c1nnc(NC(=O)CCC(=O)O)s1
CHEMBL7424,5.301029996,CCCCCCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7424,5.301029996,CCCCCCCCCCCC1=CC(=CC(=O)O1)O
CHEMBL7424,5.301029996,CCCCCCCCCCCC1=CC(=CC(=O)O1)O
